13.expérience professionnelle;14.Heure de travail moyen par semaine;15. Taille de votre équipe actuel;16. Taille de l'équipe la plus grande;17. Nombre de réunions hebdomadaires;18.Montant annuel du budget géré;19. Nombre de jours de formation ;20. Nombre moyen de projets 
15;60;280;289;2;4500000000;30;10
0;30;50;50;0;450000000;0;2
10;50;15;40;2;1000000000;120;3
6;40;0;5;1;0;5;3
1,5;40;1;1;1;0;0;0
0;35;0;0;2;0;30;0
1,5;40;0;1;3;0;0;2
4;40;23;23;7;9E+13;30;8
1,5;40;2;2;1;25000000;4;5
5;39;2;31;1;220000000;4;2
15;30;7;30;4;240000000;40;20
2;40;0;0;5;0;0;8
3;54;8;10;4;20000000;50;4
2;40;60;400;2;20000000000;0;2
8;45;5;5;6;0;0;3
29;40;3;3;1;2000000000;2;1
12;55;4;4;2;0;0;2
15;40;2;4;2;12000000;2;1
22;8;21;23;1;1000000000;5;4
25;45;18;25;2;50000000000;15;2
5;40;4;4;7;0;0;10
1;40;7;20;2;5000000000;2;3
4;42;3;3;1;0;90;2
5;40;4;15;4;5000000000;5;3
2;8;6;6;1;1000000;2;6
10;40;5;5;2;80000000;0;1
2;40;0;2;2;0;5;4
20;45;5;52;1;1000000000;7;3
4;40;0;8;2;40000000000;2;2
13;40;6;10;1;127000000;30;2
1;50;2;2;0;75000000000;5;4
7;60;5;12;7;0;90;3
8;72;20;20;1;200000000;10;9
2;35;2;2;1;20000000;5;1
1;40;9;9;1;400000000;10;5
5;42;4;4;1;200000000;3;2
30;50;10;10;4;64000000000;10;2
1;20;3;4;1;30000000000;40;1
20;45;30;30;1;200000000;10;1
2;54;1;4;0;0;0;0
2;60;15;15;2;25000000;0;3
5;45;15;25;1;5000000;0;2
30;8;120;120;2;150000000;15;1
12;40;20;20;0;0;7;10
8;45;44;44;2;50000000;10;5
8;35;1;1;1;0;1;2
3;40;1;5;2;50000000;8;3
30;46;5;41;1;15000000000;0;2
10;45;4;61;1;0;0;0
24;40;2;5;2;0;7;4
22;40;2;5;1;10000000;10;3
8;40;0;12;1;12000000000;5;4
9;45;6;6;0;20000000;3;0
9;40;50;70;5;5000000000;10;4
2;28;4;4;2;20000000;10;2
2;40;40;60;2;600000000;12;3
10;45;15;15;5;15000000;0;5
3;40;4;10;3;10000000;5;5
2;50;3;4;2;0;30;1
15;33;2400;2500;1;0;2;0
3;100;5;5;2;50000000;7;4
2;40;12;12;1;25000000;4;2
3;50;11;11;2;40000000;7;1
4;40;3;6;1;24000000;60;2
2;30;24;24;7;0;7;3
7;55;4;6;1;50000000;20;2
2;20;2;4;2;200000;30;2
10;48;31;31;1;1000000000;0;3
4;40;307;3;1;0;19;2
10;45;20;105;2;0;5;2
20;60;7;20;0;7000000000;4;0
1;24;30;30;1;1000000000;3;2
3;40;0;0;2;10000000;217;30
3;40;0;2;1;0;6;5
3;40;1;1;5;1000000;15;2
34;9;10;15;2;100000000;0;2
11;45;13;13;3;600000000;25;12
4;40;8;8;1;0;60;1
16;30;5;30;1;120000000;0;2
5;50;10;200;20;0;30;4
4;40;15;15;7;1000000000;2;2
1;8;3;1;1;2000000;7;3
2;40;11;13;5;0;3;2
11;40;5;5;3;20000000;0;3
7;60;10;15;0,25;0;10;15
1;42;2000;2000;3;672000000;5;4
1;40;5;5;1;40000000;48;5
3;50;1;1;3;800000000;30;4
5;40;9;9;1;50000000;2;0
20;62;8;10;10;25000000000;15;5
6;40;15;20;2;160000000;7;0
5;50;0;2;3;0;10;4
8;40;15;20;5;50000000;10;4
1;40;7;15;2;5000000000;2;3
12;55;30;30;10;2E+11;0;5
20;45;10;30;2;100000000;10;2
13;40;10;10;3;0;4;3
1;45;1;30;2;30000000;10;3
26;60;50;50;5;0;40;4
5;38;5;15;1;0;15;0
1,5;40;500;500;1;0;1;3
5;78;20;20;3;20000000;0;2
1;40;20;50;2;350000000;3;3
0;40;0;4;0;1000000;0;3
1;40;5;20;1;100000000;0;0
4;40;12;17;3;30000000;14;2
14;40;10;10;1;100000000;0;3
3;40;6;6;2;700000000;10;2
5;60;20;20;0;50000000;3;3
1;40;0;0;0;0;0;0
1;40;300;700;4;0;10;4
1;40;10;10;1;200000000;15;3
1,5;40;12;6;3;24000000;5;3
10;40;0;0;1;0;10;1
5;40;10;24;2;0;0;2
1;40;0;6;0;3000000;84;0
24;40;18;18;1;150000000;5;2
25;50;12;12;2;250000000;0;5
4;40;4;4;5;20000000;40;5
25;40;5;7;1;2500000000;0;2
2;50;2;2;2;0;28;2
1;40;2;2;1;200000000;20;3
20;40;30;30;3;0;0;10
18;45;0;80;2;0;10;5
25;45;17;500;4;10000000000;8;3
15;40;5;10;3;1645000000;30;1
8;35;11;20;3;800000000;20;5
25;40;20;70;4;0;30;3
5;40;3;5;2;0;56;5
2;40;80;80;1;0;0;2
2;40;8;15;1;150000000;0;6
10;40;12;15;2;300000000;5;35
12;60;30;30;5;2E+11;0;5
9;40;6;6;1;200000000;8;25
10;40;4;7;1;50000000;7;1
15;45;15;24;3;250000000;20;3
3;20;0;900;1;0;8;2
2,5;45;5;5;2;0;17;4
27;40;18;42;2;180000000;20;2
18;45;5;8;1;12000000;10;4
28;40;12;22;2;150000000;5;2
7;30;4;20;2;240000000;5;10
15;40;10;20;1;200000000;10;2
2;40;6;18;3;150000000;20;3
29;45;50;75;3;15000000000;10;20
0;32;0;12;5;0;1;2
3;40;0;0;1;0;0;5
16;40;350;450;2;150000000;80;2
2,5;40;200;200;2;10000000;14;0
2;60;15;15;1;100000000;30;4
15;40;15;15;0,5;50000000;5;1
3;40;1;12;0;0;1;1
16;40;15;21;3;40000000;2;2
2;45;20;35;1;200000000;0;3
6;40;6;6;2;0;15;2
1;40;4;4;0;0;0;2
9;40;23;40;2;30000000;14;20
20;40;70;100;10;150000000;2;4
7;8;0;5;0;0;3;0
1;40;1;3;1;20000;7;1
23;10;1000;6;1;400000000;8;2
2;40;2;2;2;0;1,5;4
4,5;40;6;11;3;0;12;3
20;40;70;70;1;180000000;4;4
20;40;10;18;2;2000000000;0;10
2;40;5;20;2;0;7;6
15;40;14;20;1;1000000000;0;1
8;30;5;5;2;30000000;15;1
4;30;2;2;1;0;0;5
10;45;10;29;0;0;0;3
25;45;18;28;2;50000000000;4;2
1;40;6;6;2;1E+11;2;0
12;45;8;8;2;10000000;365;3
15;40;150;300;2;400;0;3
6,5;30;6;20;2;120000000;10;15
8;40;8;8;1;50000000000;4;4
9;50;60;1200;5;0;14;3
20;45;60;250;4;100000000;10;5
26;40;2;5;1;0;2;0
2;37;10;50;1;0;0;2
5;39;2;3;2;1000000000;3;15
4;70;160;60;6;0;0;10
0;30;22;22;1;50000000;96;1
19;40;1700;2000;2;3E+11;40;10
18;40;18;18;1;0;2;3
20;45;7;12;2;13000000000;5;3
6;50;13;25;2;300000000;0;4
10;40;8;8;1;0;2;5
20;30;5;20;1;70000000;15;3
15;40;8;14;0;300000000;2;3
1;8;2;2;3;100000000;110;3
4;45;1;8;0;0;7;4
22;28;145;150;1;0;38;3
2;40;1;1;1;0;0;3
15;60;20;20;3;3000000000;5;5
2;40;2;3;15;300000000;15;5
20;50;50;100;2;4000000000;10;3
21;44;30;200;1;2000000000;0;4
17;50;30;50;3;3000000000;20;7
15;40;3;12;1;20000000000;15;10
5;48;4;10;3;15000000;0;2
2;40;0;0;6;2000000000;2;5
3;40;4;4;1;0;10;10
2;30;4;6;2;10000000;250;5
5;40;14;19;2;309000000;12;13
11;40;25;25;1;0;10;0
0;40;20;30;1;500000000;30;5
10;40;6;12;2;160000000;5;3
3,75;40;0;5;2;1000000;15;3
22;30;3;10;1;0;10;0
20;40;15;50;1;0;0;5
15;45;20;25;2;500000000;1;10
15;40;0;10;0;0;2;0
22;40;10;20;3;0;10;5
