formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
1;280;4500000000;30;10;0.355140187;0.046728972;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.377358491
0;50;450000000;0;2;0.056074766;0.074766355;0.177570093;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
1;15;1000000000;120;3;0.355140187;0.074766355;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.377358491
0;0;0;5;3;0.355140187;0.004672897;0.593457944;0.878504673;0.004672897;0.018691589;0.397196262;0.434579439;0.004716981
0;1;0;0;0;0.009345794;0.205607477;0.196261682;0.878504673;0.004672897;0.037383178;0.397196262;0.434579439;0.377358491
0;0;0;30;0;0.355140187;0.08411215;0.177570093;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
1;0;0;0;2;0.355140187;0.205607477;0.196261682;0.878504673;0.009345794;0.018691589;0.602803738;0.252336449;0.377358491
1;23;9,00E+13;30;8;0.004672897;0.004672897;0.177570093;0.878504673;0.009345794;0.359813084;0.602803738;0.313084112;0.377358491
1;2;25000000;4;5;0.009345794;0.046728972;0.196261682;0.878504673;0.03271028;0.004672897;0.602803738;0.434579439;0.377358491
1;2;220000000;4;2;0.140186916;0.004672897;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.235849057
0;7;240000000;40;20;0.004672897;0.205607477;0.593457944;0.878504673;0.214953271;0.004672897;0.397196262;0.434579439;0.226415094
0;0;0;0;8;0.355140187;0.046728972;0.196261682;0.878504673;0.004672897;0.004672897;0.397196262;0.313084112;0.377358491
1;8;20000000;50;4;0.355140187;0.004672897;0.196261682;0.878504673;0.004672897;0.070093458;0.602803738;0.252336449;0.377358491
0;60;20000000000;0;2;0.355140187;0.004672897;0.196261682;0.878504673;0.009345794;0.03271028;0.397196262;0.252336449;0.235849057
1;5;0;0;3;0.355140187;0.08411215;0.593457944;0.878504673;0.088785047;0.009345794;0.602803738;0.434579439;0.235849057
1;3;2000000000;2;1;0.355140187;0.08411215;0.593457944;0.878504673;0.088785047;0.042056075;0.602803738;0.434579439;0.226415094
1;4;0;0;2;0.004672897;0.088785047;0.593457944;0.878504673;0.088785047;0.042056075;0.602803738;0.434579439;0.377358491
1;2;12000000;2;1;0.004672897;0.08411215;0.593457944;0.878504673;0.088785047;0.004672897;0.602803738;0.434579439;0.080188679
1;21;1000000000;5;4;0.004672897;0.205607477;0.593457944;0.878504673;0.014018692;0.070093458;0.602803738;0.434579439;0.377358491
1;18;50000000000;15;2;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.434579439;0.080188679
0;4;0;0;10;0.355140187;0.004672897;0.593457944;0.042056075;0.004672897;0.018691589;0.397196262;0.434579439;0.004716981
0;7;5000000000;2;3;0.355140187;0.023364486;0.03271028;0.878504673;0.014018692;0.359813084;0.397196262;0.313084112;0.226415094
0;3;0;90;2;0.140186916;0.205607477;0.177570093;0.878504673;0.214953271;0.359813084;0.397196262;0.313084112;0.377358491
1;4;5000000000;5;3;0.023364486;0.009345794;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.252336449;0.226415094
1;6;1000000;2;6;0.009345794;0.074766355;0.196261682;0.878504673;0.03271028;0.009345794;0.602803738;0.313084112;0.377358491
0;5;80000000;0;1;0.046728972;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.313084112;0.235849057
0;0;0;5;4;0.023364486;0.08411215;0.196261682;0.878504673;0.088785047;0.359813084;0.397196262;0.313084112;0.377358491
1;5;1000000000;7;3;0.009345794;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.252336449;0.080188679
0;0;40000000000;2;2;0.056074766;0.205607477;0.177570093;0.878504673;0.009345794;0.359813084;0.397196262;0.252336449;0.377358491
1;6;127000000;30;2;0.046728972;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.313084112;0.235849057
1;2;75000000000;5;4;0.004672897;0.08411215;0.03271028;0.878504673;0.004672897;0.056074766;0.602803738;0.434579439;0.226415094
1;5;0;90;3;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.014018692;0.602803738;0.434579439;0.377358491
0;20;200000000;10;9;0.046728972;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.397196262;0.434579439;0.377358491
1;2;20000000;5;1;0.140186916;0.004672897;0.196261682;0.878504673;0.088785047;0.359813084;0.602803738;0.313084112;0.377358491
0;9;400000000;10;5;0.023364486;0.056074766;0.196261682;0.878504673;0.214953271;0.009345794;0.397196262;0.252336449;0.235849057
0;4;200000000;3;2;0.140186916;0.056074766;0.593457944;0.878504673;0.088785047;0.056074766;0.397196262;0.313084112;0.080188679
1;10;64000000000;10;2;0.140186916;0.056074766;0.593457944;0.878504673;0.009345794;0.037383178;0.602803738;0.252336449;0.377358491
0;3;30000000000;40;1;0.355140187;0.074766355;0.196261682;0.037383178;0.03271028;0.03271028;0.397196262;0.252336449;0.226415094
0;30;200000000;10;1;0.355140187;0.009345794;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.226415094
0;1;0;0;0;0.355140187;0.056074766;0.196261682;0.018691589;0.009345794;0.03271028;0.397196262;0.252336449;
0;15;25000000;0;3;0.023364486;0.023364486;0.196261682;0.042056075;0.009345794;0.009345794;0.397196262;0.313084112;0.226415094
0;15;5000000;0;2;0.355140187;0.074766355;0.593457944;0.878504673;0.03271028;0.359813084;0.397196262;0.434579439;0.226415094
1;120;150000000;15;1;0.046728972;0.088785047;0.593457944;0.878504673;0.014018692;0.03271028;0.602803738;0.434579439;0.226415094
0;20;0;7;10;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.397196262;0.434579439;0.226415094
1;44;50000000;10;5;0.009345794;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.226415094
0;1;0;1;2;0.004672897;0.08411215;0.196261682;0.878504673;0.014018692;0.037383178;0.397196262;0.434579439;0.377358491
0;1;50000000;8;3;0.056074766;0.004672897;0.177570093;0.878504673;0.03271028;0.359813084;0.397196262;0.252336449;0.235849057
1;5;15000000000;0;2;0.004672897;0.046728972;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.235849057
1;4;0;0;0;0.140186916;0.074766355;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.313084112;0.080188679
1;2;0;7;4;0.046728972;0.088785047;0.593457944;0.878504673;0.023364486;0.004672897;0.602803738;0.313084112;0.226415094
1;2;10000000;10;3;0.046728972;0.023364486;0.593457944;0.878504673;0.214953271;0.018691589;0.602803738;0.313084112;0.226415094
0;0;12000000000;5;4;0.004672897;0.074766355;0.593457944;0.878504673;0.214953271;0.042056075;0.397196262;0.252336449;0.377358491
1;6;20000000;3;0;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.014018692;0.602803738;0.313084112;0.377358491
0;50;5000000000;10;4;0.004672897;0.205607477;0.593457944;0.878504673;0.004672897;0.004672897;0.397196262;0.313084112;0.377358491
1;4;20000000;10;2;0.355140187;0.074766355;0.196261682;0.037383178;0.03271028;0.03271028;0.602803738;0.252336449;0.235849057
1;40;600000000;12;3;0.004672897;0.004672897;0.177570093;0.878504673;0.004672897;0.009345794;0.602803738;0.434579439;0.377358491
0;15;15000000;0;5;0.355140187;0.08411215;0.593457944;0.878504673;0.028037383;0.014018692;0.397196262;0.313084112;0.226415094
0;4;10000000;5;5;0.355140187;0.046728972;0.177570093;0.878504673;0.004672897;0.03271028;0.397196262;0.434579439;0.377358491
0;3;0;30;1;0.355140187;0.056074766;0.196261682;0.878504673;0.214953271;0.014018692;0.397196262;0.252336449;0.226415094
1;2400;0;2;0;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.434579439;0.014150943
0;5;50000000;7;4;0.355140187;0.023364486;0.177570093;0.018691589;0.004672897;0.009345794;0.397196262;0.313084112;0.235849057
1;12;25000000;4;2;0.355140187;0.074766355;0.593457944;0.004672897;0.004672897;0.004672897;0.602803738;0.313084112;0.226415094
1;11;40000000;7;1;0.004672897;0.08411215;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.313084112;0.226415094
1;3;24000000;60;2;0.355140187;0.205607477;0.177570093;0.878504673;0.214953271;0.056074766;0.602803738;0.313084112;0.235849057
1;24;0;7;3;0.004672897;0.088785047;0.177570093;0.004672897;0.009345794;0.03271028;0.602803738;0.313084112;0.235849057
0;4;50000000;20;2;0.355140187;0.088785047;0.177570093;0.878504673;0.03271028;0.014018692;0.397196262;0.313084112;0.235849057
0;2;200000;30;2;0.355140187;0.088785047;0.196261682;0.042056075;0.004672897;0.004672897;0.397196262;0.252336449;0.226415094
1;31;1000000000;0;3;0.355140187;0.056074766;0.593457944;0.878504673;0.004672897;0.070093458;0.602803738;0.434579439;0.235849057
0;307;0;19;2;0.004672897;0.014018692;0.177570093;0.878504673;0.009345794;0.070093458;0.397196262;0.313084112;0.235849057
1;20;0;5;2;0.046728972;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.313084112;0.080188679
1;7;7000000000;4;0;0.140186916;0.014018692;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.004716981
1;30;1000000000;3;2;0.140186916;0.056074766;0.177570093;0.878504673;0.004672897;0.018691589;0.602803738;0.252336449;0.226415094
0;0;10000000;217;30;0.004672897;0.205607477;0.196261682;0.878504673;0.214953271;0.018691589;0.397196262;0.252336449;0.377358491
0;0;0;6;5;0.355140187;0.08411215;0.177570093;0.878504673;0.009345794;0.004672897;0.397196262;0.313084112;0.377358491
1;1;1000000;15;2;0.355140187;0.088785047;0.177570093;0.878504673;0.023364486;0.037383178;0.602803738;0.313084112;0.377358491
0;10;100000000;0;2;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.056074766;0.397196262;0.434579439;0.377358491
1;13;600000000;25;12;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.434579439;0.377358491
0;8;0;60;1;0.355140187;0.056074766;0.177570093;0.878504673;0.214953271;0.359813084;0.397196262;0.252336449;0.226415094
0;5;120000000;0;2;0.004672897;0.088785047;0.593457944;0.878504673;0.009345794;0.359813084;0.397196262;0.434579439;0.377358491
1;10;0;30;4;0.056074766;0.205607477;0.593457944;0.018691589;0.004672897;0.359813084;0.602803738;0.434579439;0.004716981
1;15;1000000000;2;2;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.226415094
1;3;2000000;7;3;0.023364486;0.205607477;0.196261682;0.042056075;0.009345794;0.359813084;0.602803738;0.252336449;0.377358491
1;11;0;3;2;0.140186916;0.056074766;0.177570093;0.878504673;0.004672897;0.359813084;0.602803738;0.252336449;0.377358491
0;5;20000000;0;3;0.004672897;0.08411215;0.593457944;0.878504673;0.009345794;0.359813084;0.397196262;0.313084112;0.235849057
1;10;0;10;15;0.023364486;0.205607477;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.434579439;0.235849057
1;2000;672000000;5;4;0.023364486;0.088785047;0.196261682;0.878504673;0.009345794;0.359813084;0.602803738;0.313084112;0.377358491
1;5;40000000;48;5;0.140186916;0.023364486;0.03271028;0.037383178;0.214953271;0.070093458;0.602803738;0.252336449;0.377358491
1;1;800000000;30;4;0.355140187;0.08411215;0.177570093;0.878504673;0.088785047;0.037383178;0.602803738;0.434579439;0.377358491
0;9;50000000;2;0;0.355140187;0.08411215;0.593457944;0.878504673;0.014018692;0.03271028;0.397196262;0.434579439;0.377358491
1;8;25000000000;15;5;0.355140187;0.074766355;0.593457944;0.878504673;0.009345794;0.004672897;0.602803738;0.434579439;0.226415094
0;15;160000000;7;0;0.004672897;0.088785047;0.593457944;0.042056075;0.004672897;0.004672897;0.397196262;0.434579439;0.080188679
1;0;0;10;4;0.056074766;0.08411215;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.252336449;0.004716981
0;15;50000000;10;4;0.140186916;0.023364486;0.593457944;0.878504673;0.023364486;0.03271028;0.397196262;0.434579439;0.377358491
0;7;5000000000;2;3;0.355140187;0.023364486;0.03271028;0.878504673;0.014018692;0.070093458;0.397196262;0.313084112;0.226415094
0;30;2,00E+11;0;5;0.056074766;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.235849057
1;10;100000000;10;2;0.140186916;0.004672897;0.593457944;0.878504673;0.088785047;0.042056075;0.602803738;0.434579439;0.226415094
0;10;0;4;3;0.004672897;0.074766355;0.593457944;0.878504673;0.004672897;0.037383178;0.397196262;0.313084112;0.235849057
0;1;30000000;10;3;0.355140187;0.08411215;0.196261682;0.878504673;0.023364486;0.056074766;0.397196262;0.252336449;0.377358491
1;50;0;40;4;0.004672897;0.056074766;0.593457944;0.878504673;0.214953271;0.004672897;0.602803738;0.434579439;0.377358491
1;5;0;15;0;0.140186916;0.004672897;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.313084112;0.080188679
1;500;0;1;3;0.355140187;0.08411215;0.196261682;0.037383178;0.009345794;0.359813084;0.602803738;0.252336449;0.377358491
1;20;20000000;0;2;0.056074766;0.046728972;0.593457944;0.878504673;0.004672897;0.03271028;0.602803738;0.313084112;0.235849057
0;20;350000000;3;3;0.355140187;0.023364486;0.196261682;0.878504673;0.009345794;0.004672897;0.397196262;0.252336449;0.226415094
1;0;1000000;0;3;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.042056075;0.602803738;0.313084112;0.226415094
0;5;100000000;0;0;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.359813084;0.397196262;0.313084112;0.377358491
