formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
1;12;30000000;14;2;0.355140187;0.205607477;0.177570093;0.878504673;0.214953271;0.056074766;0.602803738;0.313084112;0.377358491
1;10;100000000;0;3;0.004672897;0.004672897;0.593457944;0.878504673;0.028037383;0.359813084;0.602803738;0.434579439;0.235849057
1;6;700000000;10;2;0.355140187;0.205607477;0.177570093;0.878504673;0.018691589;0.042056075;0.602803738;0.313084112;0.226415094
1;20;50000000;3;3;0.004672897;0.014018692;0.177570093;0.878504673;0.214953271;0.03271028;0.602803738;0.434579439;0.226415094
0;0;0;0;0;0.355140187;0.014018692;0.196261682;0.878504673;0.214953271;0.042056075;0.397196262;0.252336449;0.377358491
0;300;0;10;4;0.009345794;0.088785047;0.177570093;0.878504673;0.009345794;0.359813084;0.397196262;0.252336449;0.235849057
1;10;200000000;15;3;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.018691589;0.602803738;0.313084112;0.377358491
0;12;24000000;5;3;0.004672897;0.004672897;0.03271028;0.878504673;0.009345794;0.018691589;0.397196262;0.252336449;0.235849057
1;0;0;10;1;0.004672897;0.004672897;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.235849057
0;10;0;0;2;0.009345794;0.014018692;0.177570093;0.878504673;0.014018692;0.070093458;0.397196262;0.252336449;0.235849057
1;0;3000000;84;0;0.355140187;0.205607477;0.196261682;0.878504673;0.214953271;0.037383178;0.602803738;0.313084112;0.377358491
1;18;150000000;5;2;0.004672897;0.004672897;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.004716981
0;12;250000000;0;5;0.023364486;0.08411215;0.593457944;0.878504673;0.214953271;0.359813084;0.397196262;0.434579439;0.004716981
1;4;20000000;40;5;0.140186916;0.004672897;0.177570093;0.878504673;0.214953271;0.004672897;0.602803738;0.252336449;0.235849057
1;5;2500000000;0;2;0.355140187;0.205607477;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.080188679
1;2;0;28;2;0.355140187;0.004672897;0.196261682;0.878504673;0.214953271;0.359813084;0.602803738;0.252336449;0.226415094
0;2;200000000;20;3;0.355140187;0.205607477;0.03271028;0.878504673;0.214953271;0.056074766;0.397196262;0.252336449;0.226415094
0;30;0;0;10;0.004672897;0.004672897;0.593457944;0.878504673;0.014018692;0.359813084;0.397196262;0.434579439;0.235849057
1;0;0;10;5;0.355140187;0.004672897;0.593457944;0.037383178;0.018691589;0.359813084;0.602803738;0.434579439;0.377358491
1;17;10000000000;8;3;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.434579439;0.235849057
1;5;1645000000;30;1;0.140186916;0.009345794;0.593457944;0.878504673;0.009345794;0.070093458;0.602803738;0.434579439;0.377358491
1;11;800000000;20;5;0.009345794;0.009345794;0.593457944;0.878504673;0.004672897;0.018691589;0.602803738;0.434579439;0.226415094
1;20;0;30;3;0.140186916;0.205607477;0.593457944;0.878504673;0.009345794;0.359813084;0.602803738;0.434579439;0.080188679
0;3;0;56;5;0.355140187;0.08411215;0.177570093;0.878504673;0.009345794;0.359813084;0.397196262;0.313084112;0.377358491
0;80;0;0;2;0.140186916;0.08411215;0.196261682;0.878504673;0.004672897;0.359813084;0.397196262;0.252336449;0.377358491
0;8;150000000;0;6;0.004672897;0.08411215;0.593457944;0.878504673;0.088785047;0.018691589;0.397196262;0.434579439;0.226415094
0;12;300000000;5;35;0.023364486;0.205607477;0.593457944;0.878504673;0.214953271;0.037383178;0.397196262;0.434579439;0.377358491
0;30;2,00E+11;0;5;0.056074766;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.235849057
0;6;200000000;8;25;0.355140187;0.205607477;0.593457944;0.878504673;0.214953271;0.056074766;0.397196262;0.313084112;0.235849057
1;4;50000000;7;1;0.046728972;0.088785047;0.593457944;0.878504673;0.009345794;0.037383178;0.602803738;0.313084112;0.377358491
1;15;250000000;20;3;0.004672897;0.023364486;0.593457944;0.878504673;0.214953271;0.037383178;0.602803738;0.313084112;0.377358491
1;0;0;8;2;0.355140187;0.08411215;0.177570093;0.037383178;0.004672897;0.359813084;0.602803738;0.252336449;0.226415094
0;5;0;17;4;0.056074766;0.08411215;0.196261682;0.878504673;0.004672897;0.037383178;0.397196262;0.252336449;0.235849057
1;18;180000000;20;2;0.004672897;0.004672897;0.593457944;0.878504673;0.009345794;0.004672897;0.602803738;0.434579439;0.377358491
1;5;12000000;10;4;0.004672897;0.004672897;0.593457944;0.037383178;0.014018692;0.070093458;0.602803738;0.434579439;0.235849057
1;12;150000000;5;2;0.140186916;0.205607477;0.593457944;0.878504673;0.088785047;0.359813084;0.602803738;0.434579439;0.377358491
0;4;240000000;5;10;0.023364486;0.056074766;0.593457944;0.878504673;0.214953271;0.014018692;0.397196262;0.434579439;0.377358491
1;10;200000000;10;2;0.023364486;0.08411215;0.593457944;0.878504673;0.028037383;0.018691589;0.602803738;0.313084112;0.080188679
0;6;150000000;20;3;0.023364486;0.08411215;0.196261682;0.878504673;0.023364486;0.004672897;0.397196262;0.252336449;0.235849057
1;50;15000000000;10;20;0.004672897;0.046728972;0.593457944;0.878504673;0.009345794;0.359813084;0.602803738;0.434579439;0.235849057
0;0;0;1;2;0.004672897;0.004672897;0.196261682;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
0;0;0;0;5;0.004672897;0.08411215;0.177570093;0.878504673;0.023364486;0.359813084;0.397196262;0.313084112;0.235849057
1;350;150000000;80;2;0.140186916;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.014150943
1;200;10000000;14;0;0.004672897;0.004672897;0.196261682;0.878504673;0.004672897;0.037383178;0.602803738;0.252336449;0.377358491
1;15;100000000;30;4;0.004672897;0.056074766;0.177570093;0.042056075;0.004672897;0.004672897;0.602803738;0.434579439;0.014150943
1;15;50000000;5;1;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.226415094
1;1;0;1;1;0.004672897;0.074766355;0.196261682;0.878504673;0.023364486;0.03271028;0.602803738;0.252336449;0.226415094
0;15;40000000;2;2;0.140186916;0.056074766;0.593457944;0.878504673;0.214953271;0.009345794;0.397196262;0.313084112;0.235849057
0;20;200000000;0;3;0.004672897;0.004672897;0.177570093;0.878504673;0.004672897;0.004672897;0.397196262;0.434579439;0.377358491
1;6;0;15;2;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.313084112;0.377358491
1;4;0;0;2;0.355140187;0.088785047;0.03271028;0.878504673;0.004672897;0.023364486;0.602803738;0.252336449;0.226415094
1;23;30000000;14;20;0.009345794;0.08411215;0.593457944;0.878504673;0.088785047;0.03271028;0.602803738;0.313084112;0.226415094
1;70;150000000;2;4;0.140186916;0.056074766;0.593457944;0.878504673;0.009345794;0.037383178;0.602803738;0.252336449;0.080188679
0;0;0;3;0;0.355140187;0.08411215;0.593457944;0.878504673;0.214953271;0.037383178;0.397196262;0.434579439;0.080188679
0;1;20000;7;1;0.355140187;0.08411215;0.196261682;0.004672897;0.009345794;0.023364486;0.397196262;0.252336449;0.377358491
1;1000;400000000;8;2;0.004672897;0.004672897;0.593457944;0.004672897;0.004672897;0.070093458;0.602803738;0.434579439;0.014150943
1;2;0;1.5;4;0.004672897;0.056074766;0.177570093;0.004672897;0.014018692;0.056074766;0.602803738;0.313084112;0.235849057
1;6;0;12;3;0.009345794;0.014018692;0.177570093;0.878504673;0.004672897;0.070093458;0.602803738;0.252336449;0.226415094
1;70;180000000;4;4;0.140186916;0.056074766;0.593457944;0.878504673;0.009345794;0.037383178;0.602803738;0.252336449;0.080188679
1;10;2000000000;0;10;0.140186916;0.205607477;0.593457944;0.878504673;0.028037383;0.359813084;0.602803738;0.434579439;0.377358491
1;5;0;7;6;0.004672897;0.004672897;0.177570093;0.878504673;0.023364486;0.359813084;0.602803738;0.252336449;0.377358491
0;14;1000000000;0;1;0.355140187;0.056074766;0.593457944;0.878504673;0.214953271;0.023364486;0.397196262;0.434579439;0.377358491
0;5;30000000;15;1;0.355140187;0.08411215;0.593457944;0.878504673;0.009345794;0.359813084;0.397196262;0.313084112;0.377358491
1;2;0;0;5;0.023364486;0.056074766;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.252336449;0.235849057
1;10;0;0;3;0.355140187;0.004672897;0.593457944;0.878504673;0.004672897;0.023364486;0.602803738;0.313084112;0.377358491
1;18;50000000000;4;2;0.355140187;0.014018692;0.593457944;0.878504673;0.018691589;0.359813084;0.602803738;0.434579439;0.235849057
1;6;1,00E+11;2;0;0.355140187;0.205607477;0.196261682;0.878504673;0.004672897;0.056074766;0.602803738;0.252336449;0.377358491
1;8;10000000;365;3;0.056074766;0.046728972;0.593457944;0.878504673;0.028037383;0.014018692;0.602803738;0.252336449;0.377358491
0;150;400;0;3;0.046728972;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
0;6;120000000;10;15;0.023364486;0.056074766;0.593457944;0.878504673;0.214953271;0.03271028;0.397196262;0.434579439;0.377358491
1;8;50000000000;4;4;0.056074766;0.088785047;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.313084112;0.377358491
1;60;0;14;3;0.004672897;0.014018692;0.593457944;0.878504673;0.214953271;0.070093458;0.602803738;0.313084112;0.226415094
1;60;100000000;10;5;0.004672897;0.004672897;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.434579439;0.377358491
0;2;0;2;0;0.140186916;0.08411215;0.593457944;0.037383178;0.009345794;0.023364486;0.397196262;0.252336449;0.235849057
1;10;0;0;2;0.140186916;0.074766355;0.593457944;0.878504673;0.004672897;0.037383178;0.602803738;0.252336449;0.004716981
1;2;1000000000;3;15;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.042056075;0.602803738;0.313084112;0.235849057
0;160;0;0;10;0.004672897;0.004672897;0.177570093;0.878504673;0.004672897;0.070093458;0.397196262;0.434579439;0.377358491
1;22;50000000;96;1;0.004672897;0.088785047;0.177570093;0.878504673;0.004672897;0.018691589;0.602803738;0.252336449;0.014150943
1;1700;3,00E+11;40;10;0.355140187;0.205607477;0.593457944;0.878504673;0.014018692;0.359813084;0.602803738;0.434579439;0.235849057
0;18;0;2;3;0.004672897;0.088785047;0.593457944;0.878504673;0.023364486;0.056074766;0.397196262;0.434579439;0.080188679
1;7;13000000000;5;3;0.355140187;0.08411215;0.593457944;0.878504673;0.028037383;0.004672897;0.602803738;0.434579439;0.004716981
1;13;300000000;0;4;0.056074766;0.08411215;0.593457944;0.878504673;0.214953271;0.056074766;0.602803738;0.434579439;0.377358491
1;8;0;2;5;0.004672897;0.205607477;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.313084112;0.080188679
0;5;70000000;15;3;0.004672897;0.088785047;0.593457944;0.042056075;0.004672897;0.004672897;0.397196262;0.434579439;0.377358491
0;8;300000000;2;3;0.004672897;0.205607477;0.593457944;0.878504673;0.018691589;0.359813084;0.397196262;0.313084112;0.226415094
1;2;100000000;110;3;0.140186916;0.056074766;0.196261682;0.878504673;0.088785047;0.359813084;0.602803738;0.313084112;0.226415094
1;1;0;7;4;0.140186916;0.014018692;0.593457944;0.878504673;0.009345794;0.359813084;0.602803738;0.252336449;0.235849057
1;145;0;38;3;0.140186916;0.056074766;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.080188679
1;1;0;0;3;0.355140187;0.056074766;0.196261682;0.878504673;0.214953271;0.359813084;0.602803738;0.313084112;0.377358491
1;20;3000000000;5;5;0.004672897;0.046728972;0.593457944;0.878504673;0.009345794;0.070093458;0.602803738;0.434579439;0.377358491
0;2;300000000;15;5;0.355140187;0.074766355;0.196261682;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.235849057
1;50;4000000000;10;3;0.004672897;0.056074766;0.593457944;0.878504673;0.014018692;0.359813084;0.602803738;0.313084112;0.235849057
1;30;2000000000;0;4;0.140186916;0.205607477;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.252336449;0.226415094
1;30;3000000000;20;7;0.023364486;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.235849057
1;3;20000000000;15;10;0.355140187;0.088785047;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.235849057
1;4;15000000;0;2;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.434579439;0.004716981
0;0;2000000000;2;5;0.355140187;0.074766355;0.196261682;0.878504673;0.004672897;0.004672897;0.397196262;0.313084112;0.377358491
0;4;0;10;10;0.355140187;0.08411215;0.177570093;0.878504673;0.004672897;0.070093458;0.397196262;0.313084112;0.235849057
1;4;10000000;250;5;0.355140187;0.08411215;0.196261682;0.042056075;0.004672897;0.359813084;0.602803738;0.313084112;0.377358491
1;14;309000000;12;13;0.004672897;0.205607477;0.177570093;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.226415094
0;25;0;10;0;0.140186916;0.08411215;0.593457944;0.878504673;0.004672897;0.014018692;0.397196262;0.434579439;0.014150943
1;20;500000000;30;5;0.004672897;0.08411215;0.593457944;0.878504673;0.004672897;0.004672897;0.602803738;0.434579439;0.004716981
1;6;160000000;5;3;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.226415094
0;0;1000000;15;3;0.046728972;0.023364486;0.177570093;0.042056075;0.214953271;0.359813084;0.397196262;0.252336449;0.235849057
1;3;0;10;0;0.355140187;0.088785047;0.593457944;0.878504673;0.004672897;0.009345794;0.602803738;0.313084112;0.226415094
1;15;0;0;5;0.355140187;0.046728972;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.226415094
1;20;500000000;1;10;0.004672897;0.004672897;0.593457944;0.018691589;0.004672897;0.014018692;0.602803738;0.434579439;
1;0;0;2;0;0.355140187;0.074766355;0.593457944;0.878504673;0.023364486;0.042056075;0.602803738;0.252336449;0.235849057
0;10;0;10;5;0.355140187;0.056074766;0.593457944;0.878504673;0.214953271;0.014018692;0.397196262;0.434579439;0.226415094
