Universite;Specialisation;annee_experience;type_emploi;secteur_activite;competence_professionnelle;formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;salaire;source_emploi
INSCAE;Marketing, Management;Plus de 5 ans;Temps plein;Marketing/Publicité, Distribution;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Nutrition;Oui;280;4500000000;30;10;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Marketing;3-5 ans;Temps plein;Énergie ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;50;450000000;0;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Marketing;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;15;1000000000;120;3;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Comptabilité - Contrôle - Audit/ GRH;Plus de 5 ans;Temps plein;BPO;Communication, Résolution de problèmes, Adaptabilité;Non;0;0;5;3;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne, Reseaux professionnels, Recommandations
IAE de Poitiers;Finance, Comptabilité;1-2 ans;Temps plein;Environnement ;Résolution de problèmes, Adaptabilité;Non;1;0;0;0;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Gestion des Ressources Humaines;3-5 ans;Temps plein;Developpement / NGO ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;0;0;30;0;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Gestion de projet;Communication, Adaptabilité;Oui;0;0;0;2;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Université Catholique de Madagascar ;Science Sociale Appliquée au Développement ;3-5 ans;Temps plein;Humanitaire;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;23;9E+13;30;8;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
IAE de Poitiers;Marketing, Management;1-2 ans;Temps plein;Marketing/Publicité;Communication, Travail d'équipe, Adaptabilité, Relation client, Capacité d'analyse et gestion des études(analyses de données) marketing ;Oui;2;25000000;4;5;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Développement;Plus de 5 ans;Temps plein;Inclusion Financière;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Entreprenariat;Oui;2;220000000;4;2;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
Oecfm;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Entrepreneuriat;Non;7;240000000;40;20;Plus de 3 Millions MGA;Recommandations
INSCAE;Marketing, Management;1-2 ans;Temps plein;Banque/Finance, Gestion de projet;Communication, Résolution de problèmes, Adaptabilité, Gestion de projet;Non;0;0;0;8;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité, Marketing, Management;1-2 ans;Temps plein;Entrepreneuriat;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;8;20000000;50;4;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Management, Commerce International;1-2 ans;Temps plein;Agroalimentaire;Communication, Leadership, Résolution de problèmes, Adaptabilité;Non;60;20000000000;0;2;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance;Plus de 5 ans;Temps plein;Banque/Finance;Travail d'équipe, Leadership, Résolution de problèmes;Oui;5;0;0;3;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance;Plus de 5 ans;Temps plein;Banque/Finance;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;3;2000000000;2;1;Plus de 3 Millions MGA;Recommandations
IST / AUF Diego;Management;Plus de 5 ans;Temps plein;Banque/Finance;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;4;0;0;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM et DEGS Ankatso;Finance;Plus de 5 ans;Temps plein;Banque/Finance;Travail d'équipe;Oui;2;12000000;2;1;Plus de 3 Millions MGA;Annonces dans les journaux
Ecole Nationale des Finances Publiques(ENFIP), France;Finance, Comptabilité;Plus de 5 ans;Temps plein;Banque/Finance, Comptabilité/Audit;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;21;1000000000;5;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;18;50000000000;15;2;Plus de 3 Millions MGA;Annonces dans les journaux
INSCAE;Commerce International;Plus de 5 ans;Freelance;Service digital;Communication, Résolution de problèmes, Adaptabilité;Non;4;0;0;10;Plus de 3 Millions MGA;Plateforme de mise en relation freelancer et intéressé
INSCAE;Administration d'entreprise;Moins de 1 an;Temps plein;Importation;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;7;5000000000;2;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
DEGS Ankatso;Finance, Comptabilité;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;3;0;90;2;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
IST - Tananarive ;BTP;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;4;5000000000;5;3;Moins de 2 Millions MGA;Recommandations
EsM;Marketing;1-2 ans;Temps plein;Marketing/Publicité;Communication, Travail d'équipe;Oui;6;1000000;2;6;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
CNTEMAD;Finance, Comptabilité;Plus de 5 ans;Temps plein;Integration erp;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;80000000;0;1;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE ;Gestion des Ressources Humaines;1-2 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;0;0;5;4;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
École Supérieure Polytechnique Antananarivo;Informatique industrielle ;Plus de 5 ans;Temps plein;Organisme public;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;5;1000000000;7;3;Moins de 2 Millions MGA;Annonces dans les journaux
ISCAM;Finance, Comptabilité;3-5 ans;Temps plein;Industrie;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;0;40000000000;2;2;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
CNTEMAD;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;6;127000000;30;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
Ieseg ;Finance;Moins de 1 an;Temps plein;Finance ;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;2;75000000000;5;4;Plus de 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Leadership, Résolution de problèmes, Adaptabilité;Oui;5;0;90;3;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
CNTEMAD;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;20;200000000;10;9;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Économie ;1-2 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;2;20000000;5;1;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE ;Comptabilité - Contrôle - Audit;1-2 ans;Temps plein;Comptabilité/Audit;Leadership;Non;9;400000000;10;5;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Économie;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;4;200000000;3;2;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
DEGS Ankatso;Économie;Plus de 5 ans;Temps plein;Gestion de projet;Résolution de problèmes, Adaptabilité;Oui;10;64000000000;10;2;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Marketing;1-2 ans;Temps partiel;Marketing/Publicité;Communication, Travail d'équipe, Leadership, Adaptabilité;Non;3;30000000000;40;1;Moins de 2 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité, Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Banque/Finance, Comptabilité/Audit, Conseil en gestion, Fiscalité et juridique ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;30;200000000;10;1;Plus de 3 Millions MGA;Recommandations
INSCAE;Comptabilité - Contrôle - Audit;1-2 ans;Entrepreneur ;Agroalimentaire;Communication, Leadership, Résolution de problèmes, Adaptabilité;Non;1;0;0;0;Moins de 2 Millions MGA;N/A
INSCAE ;Administration d'entreprise;1-2 ans;Freelance;Entrepreneuriat ;Communication, Leadership, Résolution de problèmes;Non;15;25000000;0;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE;Marketing;Plus de 5 ans;Temps plein;Marketing/Publicité;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;15;5000000;0;2;Plus de 3 Millions MGA;Recommandations
CNTEMAD;Management;Plus de 5 ans;Temps plein;Commerce ;Communication, Leadership, Résolution de problèmes, Adaptabilité;Oui;120;150000000;15;1;Plus de 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;20;0;7;10;Plus de 3 Millions MGA;Recommandations
EsM;Multimédia ;Plus de 5 ans;Temps plein;Grossiste Pharmaceutique ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;44;50000000;10;5;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
Sciences-U Mont Rouge Paris;Gestion des Ressources Humaines;1-2 ans;Temps plein;BTP;Communication, Travail d'équipe, Adaptabilité;Non;1;0;1;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Marketing, Management et Innovation ;3-5 ans;Temps plein;Marketing/Publicité;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;1;50000000;8;3;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE - HEC - UNIVERSITE D ANTANANARIVO;Marketing, Management;Plus de 5 ans;Temps plein;Marketing/Publicité, Commercial;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Culture QHSE;Oui;5;15000000000;0;2;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Marketing;Plus de 5 ans;Temps plein;Societe en Zone Franche;Communication, Travail d'équipe, Résolution de problèmes;Oui;4;0;0;0;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
CNTEMAD;Management;Plus de 5 ans;Temps plein;Télécommunication;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Respect de la confidentialité, de l'éthique et de la compliance;Oui;2;0;7;4;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
CNTEMAD;Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Leadership;Oui;2;10000000;10;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
ESSVA;Marketing;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;0;12000000000;5;4;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Leadership, Adaptabilité;Oui;6;20000000;3;0;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Institute of Management an Techonology;Finance, Comptabilité;Plus de 5 ans;Temps plein;Externalisation ;Communication, Leadership;Non;50;5000000000;10;4;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Marketing;1-2 ans;Temps partiel;Marketing/Publicité;Communication, Travail d'équipe, Leadership, Adaptabilité;Oui;4;20000000;10;2;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
IT University;Informatique;3-5 ans;Temps plein;Informatique - Enseignement;Communication, Leadership, Résolution de problèmes;Oui;40;600000000;12;3;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Assurance;Travail d'équipe, Adaptabilité;Non;15;15000000;0;5;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE;Marketing, Management;3-5 ans;Temps plein;Service clientèle;Communication, Travail d'équipe, Leadership, Adaptabilité;Non;4;10000000;5;5;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Comptabilité - Contrôle - Audit;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes;Non;3;0;30;1;Moins de 2 Millions MGA;Recommandations
O2;Gestion des Ressources Humaines, Management, EVALUATION DE PROJET;Plus de 5 ans;Temps plein;ECONOMIE DE DEVELOPPEMENT (MINISTRE DE L'AGRICULTURE ET DE L'ELEVAGE A MADAGASCAR);Communication, Travail d'équipe, Leadership;Oui;2400;0;2;0;Plus de 3 Millions MGA;Concours 
INSCAE;Administration d'entreprise;3-5 ans;Entrepreneur ;Artisanat;Communication, Travail d'équipe;Non;5;50000000;7;4;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Marketing;Plus de 5 ans;Entrepreneur;Élevage / traduction;Leadership, Résolution de problèmes;Oui;12;25000000;4;2;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
Association Professionnelle des Banques;Finance;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;11;40000000;7;1;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;3;24000000;60;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
Institut Universitaire de Madagascar;Management;3-5 ans;Consultance;Ressources humaines ;Communication, Travail d'équipe, Leadership, Adaptabilité;Oui;24;0;7;3;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Management;3-5 ans;Temps plein;Marketing/Publicité;Communication, Travail d'équipe, Leadership, Résolution de problèmes;Non;4;50000000;20;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Management;1-2 ans;Freelance;Média ;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité, Écriture - Logistique ;Non;2;200000;30;2;Moins de 2 Millions MGA;Recommandations
INSCAE;Comptabilité - Contrôle - Audit;Plus de 5 ans;Temps plein;Direction;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;31;1000000000;0;3;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
ESMIA MADAGASCAR ;Gestion des Ressources Humaines, Management;3-5 ans;Temps plein;RH;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;307;0;19;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
CNTEMAD;Droit Public;Plus de 5 ans;Temps plein;Banque/Finance, Public;Communication, Travail d'équipe, Leadership;Oui;20;0;5;2;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
DEGS Ankatso;Droit;Plus de 5 ans;Temps plein;Agroalimentaire ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;7;7000000000;4;0;Plus de 3 Millions MGA;Cooptation 
DEGS Ankatso;Économie;3-5 ans;Temps plein;Société privée;Communication, Adaptabilité;Oui;30;1000000000;3;2;Moins de 2 Millions MGA;Recommandations
Esam Paris;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Adaptabilité;Non;0;10000000;217;30;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Gestion des Ressources Humaines;3-5 ans;Temps plein;Informatique;Résolution de problèmes, Résistance au stress;Non;0;0;6;5;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Management;3-5 ans;Temps plein;Conseil en gestion;Résolution de problèmes, Adaptabilité;Oui;1;1000000;15;2;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;10;100000000;0;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;13;600000000;25;12;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Comptabilité - Contrôle - Audit;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;8;0;60;1;Moins de 2 Millions MGA;Recommandations
Université Montesquieu Bordeaux 4 ;Management;Plus de 5 ans;Temps plein;Entrepreneuriat ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;120000000;0;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Finance, Comptabilité;Plus de 5 ans;Entrepreneur ;Formation - Business Coaching ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;10;0;30;4;Plus de 3 Millions MGA;Je crée des entreprises 
Agrosup Dijon;Management de la qualité;Plus de 5 ans;Temps plein;Mine;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;15;1000000000;2;2;Plus de 3 Millions MGA;Recommandations
INSCAE ;Finance, Comptabilité;1-2 ans;Freelance;Consultance ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;3;2000000;7;3;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Économie;3-5 ans;Temps plein;Communication ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;11;0;3;2;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ESSEC Business School ;Finance;Plus de 5 ans;Temps plein;Banque/Finance, Conseil en gestion;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;20000000;0;3;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE/ OECFM;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;10;0;10;15;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
IST - Tananarive ;Management;1-2 ans;Temps plein;Ressources humaines ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;2000;672000000;5;4;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Comptabilité;Moins de 1 an;Temps partiel;Comptabilité/Audit;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;5;40000000;48;5;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance;3-5 ans;Temps plein;Banque/Finance;Résolution de problèmes, Adaptabilité;Oui;1;800000000;30;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance;Plus de 5 ans;Temps plein;BTP;Communication, Travail d'équipe, Leadership, Adaptabilité;Non;9;50000000;2;0;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Marketing;Plus de 5 ans;Temps plein;Tourisme;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Liste non exhaustive ;Oui;8;25000000000;15;5;Plus de 3 Millions MGA;Recommandations
UACCEM, IESEG School of Management;Management;Plus de 5 ans;Freelance;Externalisation;Communication, Leadership, Constance;Non;15;160000000;7;0;Plus de 3 Millions MGA;Annonces dans les journaux
ISCAM;Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Immobilier mais banque avant;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;0;0;10;4;Moins de 2 Millions MGA;Plateforme de mon entreprise
DEGS Ankatso;Comptabilité;Plus de 5 ans;Temps plein;Conseil en gestion;Communication, Leadership, Résolution de problèmes, Adaptabilité;Non;15;50000000;10;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Administration d'entreprise;Moins de 1 an;Temps plein;Importation;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;7;5000000000;2;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
ISCAM;Finance, Comptabilité;Plus de 5 ans;Temps plein;Groupe de premier plan en distribution de matériel de construction et PPN, en hôtellerie et Bâtiment;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;30;2E+11;0;5;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Comptabilité, Gestion;Plus de 5 ans;Temps plein;Banque/Finance;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;10;100000000;10;2;Plus de 3 Millions MGA;Recommandations
IUM Institut Universitaire de Madagascar;Marketing;Plus de 5 ans;Temps plein;Grande distribution;Résolution de problèmes, Adaptabilité;Non;10;0;4;3;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Gestion des Ressources Humaines;1-2 ans;Temps plein;Conseil en gestion;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;1;30000000;10;3;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso/DEX;Économie;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Audit;Oui;50;0;40;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Droit des affaires ;Plus de 5 ans;Temps plein;Public;Communication;Oui;5;0;15;0;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
INSCAE;Gestion des Ressources Humaines;1-2 ans;Temps partiel;RH;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;500;0;1;3;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Marketing, Management;Plus de 5 ans;Temps plein;Restauration;Communication, Leadership, Résolution de problèmes, Adaptabilité;Oui;20;20000000;0;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Administration d'entreprise;1-2 ans;Temps plein;Ressources Humaines;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Gestion du temps, Respect des deadlines, travail sous pression, Discipline;Non;20;350000000;3;3;Moins de 2 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;0;1000000;0;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;100000000;0;0;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;12;30000000;14;2;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
EST (Ecole Supérieure de Technologie);Management, Assurance;Plus de 5 ans;Temps plein;Assurance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;10;100000000;0;3;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;3-5 ans;Temps plein;Comptabilité/Audit, Conseil en gestion;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;6;700000000;10;2;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
