Universite;Specialisation;annee_experience;type_emploi;secteur_activite;competence_professionnelle;formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;salaire;source_emploi
ISSIG /ESMIA;Finance, Comptabilité, Management;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Adaptabilité;Oui;20;50000000;3;3;Plus de 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité, Management;1-2 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;0;0;0;0;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ESCAME;Management;3-5 ans;Temps plein;Relation client;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;300;0;10;4;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Adaptabilité;Oui;10;200000000;15;3;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Université d'Andrainjato Fianarantsoa;Comptabilité/ Gestion des Ressources Humaines;Moins de 1 an;Temps plein;Banque/Finance, Conseil en gestion;Travail d'équipe, Leadership;Non;12;24000000;5;3;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
Université Libre de Bruxelles;Microfinance;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;0;0;10;1;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
IMGAM;Gestion des Ressources Humaines, Management;3-5 ans;Temps plein;Importation;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;10;0;0;2;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Adaptabilité;Oui;0;3000000;84;0;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Flsh Université Antananarivo;Lettres Françaises;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;18;150000000;5;2;Plus de 3 Millions MGA;Annonces affichée sur le site
INSCAE/ OECFM;Finance;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;12;250000000;0;5;Plus de 3 Millions MGA;Relation d'affaires
DEGS Ankatso;Finance, Comptabilité, Economie;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, méthodique, dynamique, sérieux et rigoureux;Oui;4;20000000;40;5;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;5;2500000000;0;2;Plus de 3 Millions MGA;Annonces dans les journaux
INSCAE;Finance, Comptabilité, Contrôle de gestion et Audit ;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;2;0;28;2;Moins de 2 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;Moins de 1 an;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;2;200000000;20;3;Moins de 2 Millions MGA;Recommandations
ENI Fianarantsoa + Faculté des Sciences Antananarivo;Mathématiques+Informatique;Plus de 5 ans;Temps plein;Banque/Finance, Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;30;0;0;10;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité, Marketing;Plus de 5 ans;Temps partiel;Comptabilité/Audit, Conseil en gestion;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;0;0;10;5;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
"Université de la Havane - CUBA
Centre de formation en Ressources Humaines : CFHR Antananarivo - Madagascar";Gestion des Ressources Humaines, Génie chimique ;Plus de 5 ans;Temps plein;Distribution (Logistique et Commerciale);Communication, Travail d'équipe, Leadership, Résolution de problèmes;Oui;17;10000000000;8;3;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Finance, Comptabilité, Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Developpement;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;5;1645000000;30;1;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
École Supérieure Polytechnique Antananarivo;BTP;Plus de 5 ans;Temps plein;Administration Publique;Travail d'équipe, Leadership;Oui;11;800000000;20;5;Plus de 3 Millions MGA;Recommandations
DEGS Ankatso;Finance, Comptabilité;Plus de 5 ans;Temps plein;Developpement;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;20;0;30;3;Plus de 3 Millions MGA;Annonces dans les journaux
INSCAE;Gestion des Ressources Humaines;3-5 ans;Temps plein;Informatique;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;3;0;56;5;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Gestion des Ressources Humaines;1-2 ans;Temps plein;RRH;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;80;0;0;2;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ESGAM;Finance;Plus de 5 ans;Temps plein;Banque/Finance;Travail d'équipe, Leadership;Non;8;150000000;0;6;Plus de 3 Millions MGA;Recommandations
IST - Tananarive ;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Adaptabilité;Non;12;300000000;5;35;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Finance, Comptabilité;Plus de 5 ans;Temps plein;Groupe leader en distribution de matériel de construction, PPN, hôtellerie et construction;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;30;2E+11;0;5;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;6;200000000;8;25;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
CNTEMAD;Management;Plus de 5 ans;Temps plein;ONG / Secteur Santé Publique ;Résolution de problèmes, Adaptabilité;Oui;4;50000000;7;1;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Malagasy Mahomby;Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Adaptabilité;Oui;15;250000000;20;3;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Gestion des Ressources Humaines;3-5 ans;Temps partiel;Conseil en gestion, Enseignement ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;0;0;8;2;Moins de 2 Millions MGA;Recommandations
ISCAM;Gestion des Ressources Humaines;1-2 ans;Temps plein;Offshoring;Communication, Travail d'équipe, Adaptabilité;Non;5;0;17;4;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
IMGAM/ INSCAE;Finance, Comptabilité, Marketing, Management, Commerce International;Plus de 5 ans;Temps plein;ONG / Secteur Santé Publique ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Appui et Développement Communautaire;Oui;18;180000000;20;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Université d'état d Voronej, Russie;Droit , Gestion de projets en BTP;Plus de 5 ans;Temps partiel;BTP;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;5;12000000;10;4;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Finance, Comptabilité;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;12;150000000;5;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE/ OECFM;Comptabilité - Contrôle - Audit;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes;Non;4;240000000;5;10;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
IST - Tananarive ;Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Assurance;Communication, Résolution de problèmes, Adaptabilité;Oui;10;200000000;10;2;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
IST - Tananarive ;Finance;1-2 ans;Temps plein;Conseil en gestion;Leadership, Adaptabilité;Non;6;150000000;20;3;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
Conte mad et IST;Marketing, Management;Plus de 5 ans;Temps plein;Relation client;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;50;15000000000;10;20;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INTH;Management, Management Hotelier ;1-2 ans;Temps plein;Front Desk agent/Night Auditor ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;0;0;1;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
CFRH Institute;Gestion des Ressources Humaines;3-5 ans;Temps plein;Télécommunication;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;0;0;0;5;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Finance, Comptabilité;Plus de 5 ans;Temps plein;Service public ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;350;150000000;80;2;Plus de 3 Millions MGA;Concours 
CNTEMAD/ CFRH INSTITUTE;Gestion des Ressources Humaines, Droit privé ;1-2 ans;Temps plein;Société d'enquête et de sondage ;Communication, Travail d'équipe, Adaptabilité;Oui;200;10000000;14;0;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Pas de diplôme universitaire ;Économie;3-5 ans;Freelance;Entrepreneuriat/service aux entreprises ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Gestion de comportement ;Oui;15;100000000;30;4;Plus de 3 Millions MGA;Je ne recherche pas d’emplois
IST, DEGS Ankatso;Comptabilité, Organisation administrative ;Plus de 5 ans;Temps plein;Projet financé par Banque mondiale;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;15;50000000;5;1;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
Inscae;Marketing;1-2 ans;Temps plein;Conseil en gestion;Communication, Leadership, Résolution de problèmes, Adaptabilité;Oui;1;0;1;1;Moins de 2 Millions MGA;Recommandations
DEGS Ankatso;Économie;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Leadership, Résolution de problèmes;Non;15;40000000;2;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
Brigham Young University-Idaho;International Studies;3-5 ans;Temps plein;Venture capitalist ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Negotiations ;Non;20;200000000;0;3;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
CNTEMAD/ Université d'Antananarivo;Gestion des Ressources Humaines, Langue Anglaise;Plus de 5 ans;Temps plein;Cabinet de recrutement international ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Analyse;Oui;6;0;15;2;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Management;Moins de 1 an;Temps plein;Achat;Adaptabilité;Oui;4;0;0;2;Moins de 2 Millions MGA;Recommandations
ESCAME;Finance;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Leadership, Résolution de problèmes, Adaptabilité;Oui;23;30000000;14;20;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
DEGS Ankatso;Économie;Plus de 5 ans;Temps plein;Transit;Résolution de problèmes, Adaptabilité;Oui;70;150000000;2;4;Moins de 2 Millions MGA;Annonces dans les journaux
INSCAE;Finance;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Adaptabilité;Non;0;0;3;0;Plus de 3 Millions MGA;Annonces dans les journaux
INSCAE;Gestion des Ressources Humaines;1-2 ans;Stage;Industrie;Adaptabilité;Non;1;20000;7;1;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Dauphine Paris Sciences et Lettre;Finance, Comptabilité, Gestion des Ressources Humaines, Marketing, Management;Plus de 5 ans;Président parti politique malagasy;Management/Leader;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;1000;400000000;8;2;Plus de 3 Millions MGA;Je ne recherche pas d’emplois
INSCAE - IAE de Poitiers;Comptabilité - Contrôle - Audit;3-5 ans;En alternance car reprise des études mais avant ça en temps plein;Banque/Finance, Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;2;0;1,5;4;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
IMGAM;Gestion des Ressources Humaines, Management;3-5 ans;Temps plein;Banque/Finance, Comptabilité/Audit, ONG;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;6;0;12;3;Moins de 2 Millions MGA;Recommandations
DEGS Ankatso;Économie;Plus de 5 ans;Temps plein;Transit;Résolution de problèmes, Adaptabilité;Oui;70;180000000;4;4;Moins de 2 Millions MGA;Annonces dans les journaux
DEGS Ankatso;Finance, Comptabilité;Plus de 5 ans;Temps plein;Assurance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;10;2000000000;0;10;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Asia Pacific University of Technology and Innovation ;MBA Business Management;3-5 ans;Temps plein;Télécommunication;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;5;0;7;6;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Comptabilité - Contrôle - Audit;Plus de 5 ans;Temps plein;Comptabilité/Audit;Adaptabilité;Non;14;1000000000;0;1;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance;Plus de 5 ans;Temps plein;Humanitaire;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;30000000;15;1;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE ;Comptabilité - Contrôle - Audit;Plus de 5 ans;Temps plein;Humanitaire ;Communication, Travail d'équipe, Résolution de problèmes;Oui;2;0;0;5;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Gestion PME ;Plus de 5 ans;Temps plein;Groupe ;Adaptabilité;Oui;10;0;0;3;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité, Management;Plus de 5 ans;Temps plein;Comptabilité/Audit, Conseil en gestion;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;18;50000000000;4;2;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Finance, Comptabilité;1-2 ans;Temps plein;Contrôle de gestion;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;6;1E+11;2;0;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Marketing, Management;Plus de 5 ans;Temps plein;Assurance;Leadership, Résolution de problèmes, Adaptabilité;Oui;8;10000000;365;3;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
CNTEMAD;Finance, Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;RSE;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;150;400;0;3;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE/ OECFM;Comptabilité - Contrôle - Audit;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Adaptabilité;Non;6;120000000;10;15;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Management;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;8;50000000000;4;4;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Institut de Formation technique;Droit;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;60;0;14;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE / IST Antananarivo / Université d'Ankatso;Gestion des Ressources Humaines, Marketing, Management, Gestion de Risques et de Catastrophes;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;60;100000000;10;5;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Finance;Plus de 5 ans;Temps partiel;Consultance ;Adaptabilité;Non;2;0;2;0;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Marketing;Plus de 5 ans;Temps plein;Audiovisuelle;Communication, Travail d'équipe, Adaptabilité;Oui;10;0;0;2;Moins de 2 Millions MGA;Agence de recrutement
Université de La Réunion ;Droit Public et Relations Internationales ;Plus de 5 ans;Temps plein;Établissement financier ;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;2;1000000000;3;15;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
HEC Montréal ;Finance, Management;3-5 ans;Temps plein;Gestion de projet ;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;160;0;0;10;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INTH et CNTEMAD;Management;3-5 ans;Temps plein;Hôtellerie et tourisme;Communication, Résolution de problèmes, Adaptabilité;Oui;22;50000000;96;1;Moins de 2 Millions MGA;Je ne recherche pas d’emplois
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Commerce ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;1700;3E+11;40;10;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
CNAM;Management;Plus de 5 ans;Temps plein;Télécommunication;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;18;0;2;3;Plus de 3 Millions MGA;Annonces dans les journaux
INSCAE;Finance;Plus de 5 ans;Temps plein;Assurance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Gestion des ressources humaines ;Oui;7;13000000000;5;3;Plus de 3 Millions MGA;Offre interne et sur les bases de données 
ISCAM;Gestion des Ressources Humaines;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;13;300000000;0;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Université Catholique de Madagascar;Finance, Comptabilité;Plus de 5 ans;Temps plein;Secteur public - Ministère des Finances;Travail d'équipe, Adaptabilité;Oui;8;0;2;5;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
INSCAE ensuite ESHOTEL PARIS;Management;Plus de 5 ans;Freelance;Enseignant Formateur ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, J’ai acquis sur le terrain 70% de compétences pratiques;Non;5;70000000;15;3;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ESSCA;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit, Conseil en gestion;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;8;300000000;2;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
DEGS Ankatso;Économie;1-2 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;2;100000000;110;3;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
DEGS Ankatso;Droit;Plus de 5 ans;Temps plein;Ressources Humaines;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;1;0;7;4;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Économie;Plus de 5 ans;Temps plein;Enseignement;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Informatique/ Logiciel;Oui;145;0;38;3;Plus de 3 Millions MGA;Annonces dans les journaux
INSCAE;Comptabilité - Contrôle - Audit;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;1;0;0;3;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Université de Moncton;Marketing, Management;Plus de 5 ans;Temps plein;Tourisme;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;20;3000000000;5;5;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Marketing;1-2 ans;Temps plein;Petrolier;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;2;300000000;15;5;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
Ecoles des Hautes Etudes Internationales Paris 13;Économie;Plus de 5 ans;Temps plein;Commerce ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;50;4000000000;10;3;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
DEGS Ankatso;Finance, Comptabilité;Plus de 5 ans;Temps plein;Santé;Communication, Travail d'équipe, Leadership;Oui;30;2000000000;0;4;Moins de 2 Millions MGA;Recommandations
INSCAE/ OECFM;Finance, Comptabilité;Plus de 5 ans;Temps plein;Banque/Finance, Comptabilité/Audit, Conseil en gestion;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;30;3000000000;20;7;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Management;Plus de 5 ans;Temps plein;ONG;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;3;20000000000;15;10;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
Université Paris XII val de Marne;Entrepreunariat et PME;Plus de 5 ans;Temps plein;Commerce Automobile;Travail d'équipe, Leadership, Adaptabilité;Oui;4;15000000;0;2;Plus de 3 Millions MGA;Selection des sociétés selon compétences 
INSCAE;Marketing;1-2 ans;Temps plein;Fintech;Résolution de problèmes;Non;0;2000000000;2;5;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Gestion des Ressources Humaines;3-5 ans;Temps plein;Ressources Humaines - Formation ;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;4;0;10;10;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Gestion des Ressources Humaines;1-2 ans;Freelance;Hôtellerie et restauration ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;4;10000000;250;5;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
Ecole Supérieure de Gestion et d'Administration des Entreprise (ESGAE);Finance, Comptabilité;3-5 ans;Temps plein;NTIC ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;14;309000000;12;13;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
DEGS Ankatso;Finance;Plus de 5 ans;Temps plein;Fiscalité ;Travail d'équipe, Adaptabilité;Non;25;0;10;0;Plus de 3 Millions MGA;Concours 
Paris 1 Sorbonne;Finance;Plus de 5 ans;Temps plein;Tech;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Tech Skills;Oui;20;500000000;30;5;Plus de 3 Millions MGA;Discussion directe
Université de Fianarantsoa ;Sciences Sociales;Plus de 5 ans;Temps plein;Institution ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;6;160000000;5;3;Plus de 3 Millions MGA;Recommandations
CNTEMAD;Comptabilité;3-5 ans;Freelance;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;0;1000000;15;3;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Management;Plus de 5 ans;Temps plein;Tertiaire;Leadership;Oui;3;0;10;0;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE;Marketing, Management;Plus de 5 ans;Temps plein;Secteur extractif;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;15;0;0;5;Plus de 3 Millions MGA;Recommandations
HEC Montréal;E-Business;Plus de 5 ans;Entrepreneur ;Tourisme & Agri-Business;Leadership, Résolution de problèmes, Adaptabilité;Oui;20;500000000;1;10;Plus de 3 Millions MGA;N/A
INSCAE;Marketing;Plus de 5 ans;Temps plein;Télécommunication;Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;0;0;2;0;Moins de 2 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Comptabilité - Contrôle - Audit;Plus de 5 ans;Temps plein;Comptabilité/Audit;Travail d'équipe, Leadership, Adaptabilité;Non;10;0;10;5;Plus de 3 Millions MGA;Recommandations
